,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,dummyCoder
68,"University of Illinois, Urbana-Champaign (UIUC)","The University of Illinois, Urbana-Champaign (UIUC) is experimenting with silicon-based materials to develop flexible thermoelectric devices--which convert heat into energy--that can be mass-produced at low cost. A thermoelectric device, which resembles a computer chip, creates electricity when a different temperature is applied to each of its sides. Existing commercial thermoelectric devices contain the element tellurium, which limits production levels because tellurium has become increasingly rare. UIUC is replacing this material with microscopic silicon wires that are considerably cheaper and could be equally effective. Improvements in thermoelectric device production could return enough wasted heat to add up to 23% to our current annual electricity production.

",2012-08-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/silicon-based-thermoelectrics,2010-03-01,Illinois,Silicon-Based Thermoelectrics,Resource Efficiency, ,1714280,1,Non-profit,Perish,Pivot
69,University of Pittsburgh,"The University of Pittsburgh (Pitt) is developing a compound to increase the viscosity of--or thicken--liquid carbon dioxide (CO<sub>2</sub>). This higher-viscosity CO<sub>2</sub> compound could be used to improve the performance of enhanced oil recovery techniques. Crude oil is found deep below the surface of the earth in layers of sandstone and limestone, and one of the ways to increase our ability to recover it is to inject a high-pressure CO<sub>2</sub> solvent into these layers. Unfortunately, because the solvent is less viscous--or thinner--than oil, it is not robust enough to uniformly sweep the oil out of the rock and toward the oil well. Pitt's CO<sub>2</sub>-thickeners would improve the performance of the solvents involved in this process, allowing it to carry higher concentrations of oil to the surface. The thickeners would decrease the cost and increase the efficiency of enhanced oil recovery, and could also serve to enable liquid CO<sub>2</sub> as a replacement for the water used during recovery, offering significant environmental benefits.

",2016-04-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/co2-thickeners-enhanced-oil-and-gas-recovery,2013-05-01,Pennsylvania,CO2 Thickeners for Enhanced Oil and Gas Recovery,Resource Efficiency, ,2400000,1,Non-profit,Persist,Pivot
70,Varentec,"Varentec is developing compact, low-cost transmission power controllers with fractional power rating for controlling power flow on transmission networks. The technology will enhance grid operations through improved use of current assets and by dramatically reducing the number of transmission lines that have to be built to meet increasing contributions of renewable energy sources like wind and solar. The proposed transmission controllers would allow for the dynamic control of voltage and power flow, improving the grid's ability to dispatch power in real time to the places where it is most needed. The controllers would work as fail-safe devices whereby the grid would be restored to its present operating state in the event of a controller malfunction instead of failing outright. The ability to affordably and dynamically control power flow with adequate fail-safe switchgear could open up new competitive energy markets which are not possible under the current regulatory structure and technology base.

",2016-05-31,GENI,ALUMNI,?q=slick-sheet-project/dynamic-power-flow-controller,2012-01-03,California,Dynamic Power Flow Controller,Grid, ,4025951,0,Non-profit,Persist,Pivot
71,Yale University,"Yale University is developing a system to generate electricity using low-temperature waste heat from power plants, industrial facilities, and geothermal wells. Low-temperature waste heat is a vast, mostly untapped potential energy source. Yale's closed loop system begins with waste heat as an input. This waste heat will separate an input salt water stream into two output streams, one with high salt concentration and one with low salt concentration. In the next stage, the high and low concentration salt streams will be recombined. Mixing these streams releases energy which can then be captured. The mixed saltwater stream is then sent back to the waste heat source, allowing the process to begin again. Yale's system for generating electricity from low-temperature waste heat could considerably increase the efficiency of power generation systems.
",2015-12-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/closed-loop-system-using-waste-heat-electricity,2013-04-24,Connecticut,Closed-Loop System Using Waste Heat for Electricity,Resource Efficiency, ,2002618,1,Non-profit,Perish,Pivot
72,General Electric (GE) Global Research,"Magnetic components are typically the largest components in a power converter. To date, however, researchers haven't found an effective way to reduce their size without negatively impacting their performance. And, reducing the size of the converter's other components isn't usually an option because shrinking them can also diminish the effectiveness of the magnetic components. General Electric (GE) Global Research is developing smaller magnetic components for power converters that maintain high performance levels. The company is building smaller components with magnetic films. These films are created using the condensation of a vaporized form of the magnetic material. It's a purely physical process that involves no chemical reactions, so the film composition is uniform. This process makes it possible to create a millimeter-thick film deposition over a wide surface area fairly quickly, which would save on manufacturing costs. In fact, GE can produce 1-10 millimeter-thick films in hours. The magnetic components that GE is developing for this project could be used in a variety of applications, including solar inverters, electric vehicles, and lighting.
",2012-07-17,ADEPT,CANCELLED,?q=slick-sheet-project/scalable-thick-film-magnetics,2011-01-01,Connecticut,Scalable Thick-Film Magnetics,Electrical Efficiency, ,811520,0,Non-profit,Perish,Persist
73,Kohana Technologies,"Kohana Technologies is developing wind turbines with a control system that delivers compressed air from special slots located in the surface of its blades. The compressed air dynamically adjusts the aerodynamic performance of the blades, and can essentially be used to control lift, drag, and ultimately power. This control system has been shown to exhibit high levels of control in combination with an exceptionally fast response rate. The deployment of such a control system in modern wind turbines would lead to better management of the load on the system during peak usage, allowing larger blades to be deployed with a resulting increase in energy production.
",2017-10-01,OPEN 2009,CANCELLED,?q=slick-sheet-project/dynamically-adjustable-wind-turbine-blades,2013-03-08,California,Dynamically Adjustable Wind Turbine Blades,Distributed Generation, ,4705000,1,Non-profit,Persist,Pivot
74,Material Methods,"Material Methods is developing a heat pump technology that substitutes the use of sound waves and an environmentally benign refrigerant for synthetic refrigerants found in conventional heat pumps. Called a thermoacoustic heat pump, the technology is based on the fact that the pressure oscillations in a sound wave result in temperature changes. Areas of higher pressure raise temperatures and areas of low pressure decrease temperatures. By carefully arranging a series of heat exchangers in a sound field, the heat pump is able to isolate the hot and cold regions of the sound waves. This technology is environmentally safe, and the simplicity of the mechanical system creates efficiencies that make the system cost competitive with traditional refrigerant-based systems.
",2011-09-21,BEETIT,CANCELLED,?q=slick-sheet-project/sound-wave-refrigerants,2010-09-15,California,Sound Wave Refrigerants,Building Efficiency, ,200962,0,Non-profit,Perish,Pivot
75,Nalco,"Nalco is developing a process to capture carbon in the smokestacks of coal-fired power plants. Conventional CO<sub>2</sub> capture methods require the use of a vacuum or heat, which are energy-intensive and expensive processes. Nalco's approach to carbon capture involves controlling the acidity of the capture mixture and using an enzyme to speed up the rate of carbon capture from the exhaust gas. Changing the acidity drives the removal of CO<sub>2</sub> from the gas without changing temperature or pressure, and the enzyme speeds up the capture rate of CO<sub>2</sub>. In addition, Nalco's technology would be simpler to retrofit to existing coal-fired plants than current technologies, so it could be more easily deployed.

",2011-10-13,OPEN 2009,CANCELLED,?q=slick-sheet-project/using-enzymes-capture-co2-smokestacks,2010-01-18,Illinois,Using Enzymes to Capture CO2 in Smokestacks,Resource Efficiency, ,1621435,1,Non-profit,Perish,Pivot
76,NanOasis Technologies,"NanOasis Technologies is developing better membranes to filter salt from water during the reverse osmosis desalination process. Conventional reverse osmosis desalination processes pump water through a thin film membrane to separate out the salt. However, these membranes only provide modest water permeability, making the process highly energy intensive and expensive. NanOasis is developing membranes that consist of a thin, dense film with carbon nanotube pores that significantly enhance water transport, while effectively excluding the salt. Water can flow through the tiny pores of these carbon nanotubes quickly and with less pressure, drastically reducing the overall energy use and cost of the desalination process. In addition, NanOasis' technology was purported to not require any modifications to existing desalination plants, so it could be easily deployed.

",2011-10-14,OPEN 2009,CANCELLED,?q=slick-sheet-project/use-carbon-nanotubes-efficient-reverse-osmosis,2010-01-01,California,Use of Carbon Nanotubes for Efficient Reverse Osmosis,Resource Efficiency, ,1513820,1,Non-profit,Perish,Persist
77,Northrop Grumman Aerospace Systems,"Northrop Grumman Aerospace Systems is developing a dish-shaped sunlight-concentrating hybrid solar converter that integrates high-efficiency solar cells and a thermo-acoustic engine that generates electricity directly from heat. Current solar cells lose significant amounts of energy as heat, because they do not have heat storage capability. By integrating a high-temperature solar cell and thermo-acoustic engine into a single system, thermal energy losses are minimized. The thermo-acoustic unit, which was originally designed for space missions, converts waste heat from the solar cell into sound waves to generate electricity using as few moving parts as possible. The engine and solar cell are connected to a molten salt thermal storage unit to store heat when the sun shines and to release the heat and make electricity when the sun is not shining. Northrop Grumman's system could efficiently generate electricity more cheaply than existing solar power plants and lead to inexpensive, on-demand electricity from solar energy.
",2016-08-04,FOCUS,CANCELLED,?q=slick-sheet-project/thermo-acoustic-hybrid-solar-energy-system,2014-06-15,California,Thermo-Acoustic Hybrid Solar Energy System,Distributed Generation, ,2440277,0,Non-profit,Perish,Pivot
78,Silicon Power,"Silicon Power is developing a semiconducting device that switches high-power and high-voltage electricity using optical signals as triggers for the switches, instead of conventional signals carried through wires. A switch helps control electricity, converting it from one voltage or current to another. High-power systems generally require multiple switches to convert energy into electricity that can be transmitted through the grid. These multi-level switch configurations use many switches which may be costly and inefficient. Additionally, most switching mechanisms use silicon, which cannot handle the high switching frequencies or voltages that high-power systems demand. Silicon Power is using light to trigger its switching mechanisms, which could greatly simplify the overall power conversion process. Additionally, Silicon Power's switching device is made of silicon carbide instead of straight silicon, which is more efficient and allows it to handle higher frequencies and voltages.
",2015-08-10,OPEN 2012,CANCELLED,?q=slick-sheet-project/optical-switches-high-power-systems,2013-05-15,Pennsylvania,Optical Switches for High-Power Systems,Grid, ,2015727,1,Non-profit,Perish,Pivot
79,TDA Research,"TDA Research will develop a water recovery system that extracts and condenses 64% of the water vapor produced by the gas turbine in a natural gas combined cycle's (NGCC) power plant and stores this water for use in evaporative cooling. The system will provide supplemental cooling to NGCC power plants in which the combustion process - burning the natural gas to produce heat - produces a significant quantity of water vapor that is typically discharged to the atmosphere. First, a direct-contact condensation cycle will recover 27% of water vapor from the flue gas. To increase the amount of water recovered, a desiccant, which is a substance that attracts water, will be used to absorb an additional 37% of the water vapor. TDA's desiccant cycle utilizes the waste heat in the exhaust to regenerate the desiccant for reuse. This water recovery cycle would occur during cooler months when the water from combustion is easier to capture. Much of the water collected during this period will then be stored in an adjacent lake and saved for use during hotter summer months when evaporative cooling offers the maximum benefit to improve power plant efficiency. The project team estimates that its technology can reduce the performance penalty of a dry-cooling system by 30% compared to wet cooling. Moreover, the team is designing the system to use low-cost materials, which reduces capital costs.

",2016-08-05,ARID,CANCELLED,?q=slick-sheet-project/water-recovery-cooling-0,2015-08-06,Colorado,Water Recovery for Cooling,Resource Efficiency, ,629520,0,Non-profit,Perish,Pivot
80,United Technologies Research Center (UTRC),"United Technologies Research Center (UTRC) is developing a process for capturing the CO<sub>2</sub> emitted by coal-fired power plants. Conventional carbon capture methods use high temperatures or chemical solvents to separate CO<sub>2</sub> from the exhaust gas, which are energy intensive and expensive processes. UTRC is developing membranes that separate the CO<sub>2</sub> out of the exhaust gas using a synthetic version of a naturally occurring enzyme used to manage CO<sub>2</sub>. This enzyme is used by all air-breathing organisms on Earth to regulate CO<sub>2</sub> levels. The enzyme would not survive within the gas exhaust of coal-fired power plants in its natural form, so UTRC is developing a synthetic version designed to withstand these harsh conditions. UTRC's technology does not require heat during processing, which could allow up to a 30% reduction in the cost of carbon capture.

",2012-01-09,OPEN 2009,CANCELLED,?q=slick-sheet-project/using-synthetic-enzymes-carbon-capture,2009-12-15,Connecticut,Using Synthetic Enzymes for Carbon Capture,Resource Efficiency, ,1815719,1,Non-profit,Perish,Persist
81,United Technologies Research Center (UTRC),"United Technologies Research Center (UTRC) is developing an efficient air conditioning compressor that will use water as the refrigerant. Most conventional air conditioning systems use hydrofluorocarbons to cool the air, which are highly potent GHGs. Because water is natural and non-toxic, it is an attractive refrigerant. However, low vapor density of water requires higher compression ratios, typically resulting in large and inefficient multi-stage compression. UTRC's design utilizes a novel type of supersonic compression that enables high-compression ratios in a single stage, thus enabling more compact and cost-effective technology than existing designs. UTRC's water-based air conditioner system could reduce the use of synthetic refrigerants while also increasing energy efficiency.
",2012-03-16,BEETIT,CANCELLED,?q=slick-sheet-project/water-based-refrigerants,2010-09-02,Connecticut,Water-Based Refrigerants,Building Efficiency, ,1427515,0,Non-profit,Perish,Persist
82,"University of California, Santa Cruz (UC Santa Cruz)","The University of California, Santa Cruz (UC Santa Cruz) is developing an optical device that enables the use of concentrated solar energy at locations remote to the point of collection. Conventional solar concentration systems typically use line of sight optical components to concentrate solar energy onto a surface for direct conversion of light into electricity or heat. UC Santa Cruz's innovative approach leverages unique thin-film materials, processes, and structures to build a device that will efficiently guide sunlight into an optical fiber for use away from the point of collection. UC Santa Cruz's optical device improves the coupling of high-power, concentrated solar energy systems into fiber-optic cables for use in applications such as thermal storage, photovoltaic conversion, or solar lighting.
",2014-12-31,OPEN 2012,CANCELLED,?q=slick-sheet-project/efficient-collection-concentrated-solar,2013-05-01,California,Efficient Collection of Concentrated Solar,Distributed Generation, ,892432,1,Non-profit,Perish,Pivot
83,University of Maryland (UMD),"The University of Maryland (UMD) and its partners will utilize a novel microemulsion absorbent, recently developed by UMD researchers, for use in an absorption cooling system that can provide supplemental dry cooling for power plants. These unique absorbents require much less heat to drive the process than conventional absorption materials. To remove heat and cool condenser water, microemulsion absorbents take in water vapor (refrigerant) and release the water as liquid during desorption without vaporization or boiling. UMD's technology will use waste heat from the power plant's flue gas to drive the cooling system, eliminating the need for an additional power source. The design will improve upon the efficiency of commercially available chillers by 300%, even though the cost and size of UMD's technology is smaller. The indirect, absorption cooling system will lower condenser water temperatures to below the ambient temperature, which will ensure the efficiency of power plant electricity production.
",2018-08-13,ARID,CANCELLED,?q=slick-sheet-project/advanced-absorption-cooling,2015-09-01,Marylan,Advanced Absorption Cooling,Resource Efficiency, ,1934587,0,Non-profit,Perish,Pivot
