,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder2,coder1notes,coder2notes
57,University of Arizona,"University of Arizona is developing a hybrid solar converter that splits the light spectrum, sending a band of the solar spectrum to solar cells to generate electricity and the rest to a thermal fluid to be stored as heat. The team's converter builds off the CSP trough concentrator design, integrating a partially transmitting mirror near the focus to reflect visible wavelengths of light onto high-efficiency solar cells while passing ultraviolet and most infrared light to heat a thermal fluid. The visible light is concentrated further before reaching the solar cells to maximize their power output. A thermal management system built into the solar cells allows them to be maintained at an optimal operating temperature and could be used to recover useful waste heat. Hot thermal fluid generated by the converter can be stored and used when needed to drive a turbine to produce electricity. The converter leverages the advantages of both PV and CSP to use each portion of the solar spectrum most effectively. This could enable utilities to provide dispatchable, on-demand, solar electricity at low cost even when the sun does not shine.

",2018-08-10,FOCUS,ALUMNI,?q=slick-sheet-project/partially-transmitting-mirror,2017-08-11,Arizona,Partially Transmitting Mirror,Distributed Generation, ,4182915,0.0,Non-profit,Pivot,Persist,Nothing about cost target,DWP seems to be working on the same thing
58,"University of California, Los Angeles (UCLA)","The University of California, Los Angeles (UCLA) is developing a low-cost, intermediate-temperature fuel cell that will also function like a battery to increase load-following capability. The fuel cell will use new metal-oxide electrode materials--inspired by the proton channels found in biological systems--that offer superior energy storage capacity and cycling stability, making it ideal for distributed generation systems. UCLA's new materials also have high catalytic activity, which will lower the cost of the overall system. Success of this project will enable a rapid commercialization of multi-functional fuel cells for broad applications where reliable distributed generations are needed.
",2017-04-30,REBELS,ALUMNI,?q=slick-sheet-project/fuel-cells-dynamic-response-capability,2014-11-01,California,Fuel Cells with Dynamic Response Capability,Distributed Generation,Storage,1000000,0.0,Non-profit,Perish,Persist,Doesn't seem like they're continuing this research,
59,"University of Colorado, Boulder (CU-Boulder)","The University of Colorado, Boulder (CU-Boulder) is developing advanced power conversion components that can be integrated into individual solar panels to improve energy yields. The solar energy that is absorbed and collected by a solar panel is converted into useable energy for the grid through an electronic component called an inverter. Many large, conventional solar energy systems use one, central inverter to convert energy. CU-Boulder is integrating smaller, microconverters into individual solar panels to improve the efficiency of energy collection. The university's microconverters rely on electrical components that direct energy at high speeds and ensure that minimal energy is lost during the conversion process--improving the overall efficiency of the power conversion process. CU-Boulder is designing its power conversion devices for use on any type of solar panel.
",2015-08-31,Solar ADEPT,ALUMNI,?q=slick-sheet-project/integrated-solar-power-converters,2012-02-09,Colorado,Integrated Solar Power Converters,Distributed Generation, ,1164676,0.0,Non-profit,Pivot,Persist,,Still publishing? Company still exists but boughtout
60,University of Delaware (UD),"The University of Delaware (UD) is developing a new fuel cell membrane for vehicles that relies on cheaper and more abundant materials than those used in current fuel cells. Conventional fuel cells are very acidic, so they require acid-resistant metals like platinum to generate electricity. UD is developing an alkaline fuel cell membrane that can operate in a non-acidic environment where cheaper materials like nickel and silver, instead of platinum, can be used. In addition to enabling the use of cheaper metals, UD's membrane is 500 times less expensive than other polymer membranes used in conventional fuel cells.

",2014-12-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/affordable-hydrogen-fuel-cell-vehicles,2012-02-15,Delaware,Affordable Hydrogen Fuel Cell Vehicles,Distributed Generation, ,1278663,1.0,Non-profit,Pivot,Perish,Lots of fuel cell work in different areas,"Pivot to flow batteries OPEN 2012, so fuel cell perish?"
61,University of Florida,"The University of Florida is developing a windowless high-temperature chemical reactor that converts concentrated solar thermal energy to syngas, which can be used to produce gasoline. The overarching project goal is lowering the cost of the solar thermochemical production of syngas for clean and synthetic hydrocarbon fuels like petroleum. The team will develop processes that rely on water and recycled CO<sub>2</sub> as the sole feed-stock, and concentrated solar radiation as the sole energy source, to power the reactor to produce fuel efficiently. Successful large-scale deployment of this solar thermochemical fuel production could substantially improve our national and economic security by replacing imported oil with domestically produced solar fuels.
",2016-07-15,HEATS,ALUMNI,?q=slick-sheet-project/solar-thermochemical-fuel-production,2011-12-19,Florida,Solar Thermochemical Fuel Production,Distributed Generation, ,3355920,0.0,Non-profit,Perish,Pivot,,"Patent just granted, but no publications since 2016"
62,University of Michigan,"The University of Michigan is investigating a new, hybrid thin-film PV production technology that combines two different semiconductor production techniques: electrodeposition (the deposition of a substance on an electrode by the action of electricity) and epitaxial crystal growth (the growth of crystals of one substance on the crystal face of another substance). If successful, the University of Michigan's new hybrid approach would produce highly efficient (above 20%) gallium arsenide thin film solar cells using only simple process equipment, non-flammable precursor ingredients, and relatively low production temperatures (below 350 ?C). This would radically decrease the production cost per watt of solar capacity, making it substantially less expensive and more competitive with other energy sources.

",2016-03-31,IDEAS,ALUMNI,?q=slick-sheet-project/benchtop-growth-high-quality-thin-film-photovoltaics,2015-01-01,Michigan,Benchtop Growth of High Quality Thin Film Photovoltaics,Distributed Generation, ,259600,1.0,Non-profit,Pivot,Persist,"using hybrid electrodeposition, but for many things not just PV","Patent flied, publications from 2018, but project contact seems to still be publishing related articles"
63,"University of Nebraska, Lincoln (UNL)","The University of Nebraska, Lincoln (UNL) will develop an innovative concept for an electromagnetic induction-based static power converter for AC to AC electrical conversions. Their method will use a new device, the magnetic flux valve, to actively control the magnetic flux of the converter. The voltages induced across the device can be controlled by varying the magnetic fluxes. By synthesizing the induced voltages appropriately, the converter can take an AC input and generate an AC output with controllable amplitude, frequency, and waveform. During this project, the team plans to prove the concept of the magnetic flux valve; prove the concept for variable-frequency and variable voltage AC-AC electrical energy conversion; and conduct a study on the scalability of the magnetic flux valve and electromagnetic power converter concepts. If successful, the technology has the potential to achieve lower cost, higher energy density, and higher efficiency than traditional energy conversion technologies. More efficient conversion technologies for high voltage and high power applications can lead to new innovations in renewable power generation and smart grid applications.

",2017-08-31,IDEAS,ALUMNI,?q=slick-sheet-project/electromagnetic-induction-power-converter,2016-09-01,Nebraska,Electromagnetic Induction Power Converter,Electrical Efficiency, ,493349,1.0,Non-profit,Pivot,Persist,"University patent, recent work very different",Still getting patents
64,University of Tulsa,"The University of Tulsa is developing a hybrid solar converter with a specialized light-filtering mirror that splits sunlight by wavelength, allowing part of the sunlight spectrum to be converted directly to electricity with photovoltaics (PV), while the rest is captured and stored as heat. By integrating a light-filtering mirror that passes the visible part of the spectrum to a PV cell, the system captures and converts as much as possible of the photons into high-value electricity and concentrates the remaining light onto a thermal fluid, which can be stored and be used as needed. University of Tulsa's hybrid solar energy system also captures waste heat from the solar cells, providing an additional source of low-temperature heat. This hybrid converter could make more efficient use of the full solar spectrum and can provide inexpensive solar power on demand.

",2018-12-31,FOCUS,ALUMNI,?q=slick-sheet-project/hybrid-solar-converter-light-filtering-mirror-0,2016-11-07,Oklahoma,Hybrid Solar Converter with Light-Filtering Mirror,Distributed Generation, ,922378,0.0,Non-profit,Pivot,Persist,New strategies to get to cost target,
65,University of Tulsa,"The University of Tulsa is developing a hybrid solar converter that captures ultraviolet and infrared wavelengths of light in a thermal fluid while directing visible wavelengths of light to a photovoltaic (PV) cell to produce electricity. The PV cells can be kept at moderate temperatures while high-quality heat is captured in the thermal fluid for storage and conversion into electricity when needed. The thermal fluid will flow behind the PV cell to capture waste heat and then flow in front of the PV cell, where it heats further and also act as a filter, passing only the portions of sunlight that the PV cell converts most efficiently while absorbing the rest. This light absorption control will be accomplished by including nanoparticles of different materials, shapes, and sizes in the fluid that are tailored to absorb different portions of sunlight. The heat captured in the fluid can be stored to provide dispatchable solar energy during non-daylight hours. Together, the PV cells and thermal energy provide instantaneous as well as storable power for dispatch when most needed.
",2017-02-14,FOCUS,ALUMNI,?q=slick-sheet-project/liquid-filter-plasmonic-nanoparticles,2014-05-15,Oklahoma,Liquid Filter with Plasmonic Nanoparticles,Distributed Generation, ,1762075,0.0,Non-profit,Pivot,Persist,,"Still publishing, see entry below"
66,Avogy,"Avogy will develop a vertical transistor with a gallium nitride (GaN) semiconductor that is 30 times smaller than conventional silicon transistors but can conduct significantly more electricity. Avogy's GaN transistor will function effectively in high-power electronics because it can withstand higher electric fields and operate at higher temperatures than comparable silicon transistors. Avogy's vertical device architecture can also enable higher current devices. With such a small and efficient device, Avogy projects it will achieve functional cost parity with conventional silicon transistors within three years, while offering game-changing performance improvements.
",2016-12-12,SWITCHES,CANCELLED,?q=slick-sheet-project/vertical-gan-transistors,2014-01-01,California,Vertical GaN Transistors,Electrical Efficiency, ,1337425,0.0,For-profit,Perish,Persist,"Avogy collapses, IP bought by nexgen","?? New company seems to be making devices, but also lawsuits?"
67,FuelCell Energy,"FuelCell Energy will develop an intermediate-temperature fuel cell that will directly convert methane to methanol and other liquid fuels using advanced metal catalysts. Existing fuel cell technologies typically convert chemical energy from hydrogen into electricity during a chemical reaction with oxygen or some other agent. FuelCell Energy's cell would create liquid fuel from natural gas. Their advanced catalysts are optimized to improve the yield and selectivity of methane-to-methanol reactions; this efficiency provides the ability to run a fuel cell on methane instead of hydrogen. In addition, FuelCell Energy will utilize a new reactive spray deposition technique that can be employed to manufacture their fuel cell in a continuous process. The combination of these advanced catalysts and advanced manufacturing techniques will reduce overall system-level costs.
",2017-09-30,REBELS,CANCELLED,?q=slick-sheet-project/liquid-fuels-and-electricity-intermediate-temperature-fuel-cells,2014-10-01,Connecticut,Liquid Fuels and Electricity from Intermediate-Temperature Fuel Cells,Distributed Generation,Storage,3499967,0.0,For-profit,Pivot,Perish,Still doing fuel cells (but may go bankrupt?),
68,General Electric (GE) Global Research,"Magnetic components are typically the largest components in a power converter. To date, however, researchers haven't found an effective way to reduce their size without negatively impacting their performance. And, reducing the size of the converter's other components isn't usually an option because shrinking them can also diminish the effectiveness of the magnetic components. General Electric (GE) Global Research is developing smaller magnetic components for power converters that maintain high performance levels. The company is building smaller components with magnetic films. These films are created using the condensation of a vaporized form of the magnetic material. It's a purely physical process that involves no chemical reactions, so the film composition is uniform. This process makes it possible to create a millimeter-thick film deposition over a wide surface area fairly quickly, which would save on manufacturing costs. In fact, GE can produce 1-10 millimeter-thick films in hours. The magnetic components that GE is developing for this project could be used in a variety of applications, including solar inverters, electric vehicles, and lighting.
",2012-07-17,ADEPT,CANCELLED,?q=slick-sheet-project/scalable-thick-film-magnetics,2011-01-01,Connecticut,Scalable Thick-Film Magnetics,Electrical Efficiency, ,811520,0.0,For-profit,Perish,Persist,"Can't find anything at GE, seems like research direction changed at Dartmouth?",Continuing research in PVD magnetics
69,General Electric (GE) Power & Water,"General Electric (GE) Power &amp; Water is developing fabric-based wind turbine blades that could significantly reduce the production costs and weight of the blades. Conventional wind turbines use rigid fiberglass blades that are difficult to manufacture and transport. GE will use tensioned fabric uniquely wrapped around a spaceframe blade structure, a truss-like, lightweight rigid structure, replacing current clam shell wind blades design. The blade structure will be entirely altered, allowing for easy access and repair to the fabric while maintaining conventional wind turbine performance. This new design could reduce production costs by 70% and enable automated manufacturing while reducing the processing time by more than 50%. GE's fabric-based blades could be manufactured in sections and assembled on-site, enabling the construction of much larger wind turbines that can capture more wind with significantly lower production and transportation costs.
",2014-12-31,OPEN 2012,CANCELLED,?q=slick-sheet-project/fabric-based-wind-turbine-blades,2013-05-01,Connecticut,Fabric-Based Wind Turbine Blades,Distributed Generation, ,1506668,1.0,For-profit,Pivot,Perish,Making bigger regular turbines,
70,Kyma Technologies,"Kyma Technologies will develop a cost-effective technique to grow high-quality gallium nitride (GaN) seeds into GaN crystal boules, which are used as the starting material for a number of semiconductor devices. Currently, growing boules from GaN seeds is a slow, expensive, and inconsistent process, so it yields expensive electronic devices of varying quality. Kyma will select the highest quality GaN seeds and use a proprietary hydride vapor phase epitaxy growth process to rapidly grow the seeds into boules while preserving the seed's structural quality and improving its purity.
",2018-03-09,SWITCHES,CANCELLED,?q=slick-sheet-project/gan-substrate-technology,2014-03-10,North Carolina,GaN Substrate Technology,Electrical Efficiency, ,3224993,0.0,For-profit,Pivot,Persist,https://arpa-e.energy.gov/?q=slick-sheet-project/reliable-and-self-clamped-gan-switch,Selling product?
71,"Materials & Systems Research, Inc. (MSRI)","Materials &amp; Systems Research, Inc. (MSRI) is developing an intermediate-temperature fuel cell capable of electrochemically converting natural gas into electricity or liquid fuel in a single step. Existing solid-oxide fuel cells (SOFCs) convert the chemical energy of hydrocarbons--such as hydrogen or methane--into electricity at higher efficiencies than traditional power generators, but are expensive to manufacture and operate at extremely high temperatures, introducing durability and cost concerns over time. Existing processes for converting methane to liquid transportation fuels are also capital intensive. MSRI's technology would convert natural gas into liquid fuel using efficient catalysts and a cost-effective fabrication process that can be readily scaled up for mass production. MSRI's technology will provide low-cost power or liquid fuel while operating in a temperature range of 400-500?C, enabling better durability than today's high-temperature fuel cells.
",2016-12-31,REBELS,CANCELLED,?q=slick-sheet-project/electrogenerative-cells-flexible-cogeneration-power-and-liquid-fuel,2014-11-01,Utah,Electrogenerative Cells for Flexible Cogeneration of Power and Liquid Fuel,Distributed Generation,Storage,2799978,0.0,For-profit,Perish,Pivot,"Website no longer works, CEO gone",Seems to go to ammonium now
72,MicroLink Devices,"MicroLink Devices is developing low-cost, high-efficiency solar cells to capture concentrated sunlight in an effort to increase the amount of electricity generated by concentrating solar power plants. The continued growth of the CPV market depends strongly on continuing to reduce the cost of CPV solar cell technologies. MicroLink will make an all-lattice-matched solar cell that can achieve greater power conversion efficiency than conventional CPV technologies, thereby reducing the cost of generating electricity. In addition, MicroLink will use manufacturing techniques that allow for the reuse of expensive solar cell manufacturing templates to minimize costs. MicroLink's innovative high-efficiency solar cell design has the potential to reduce PV electricity costs well below the cost of electricity from conventional non-concentrating PV modules.
",2015-09-01,OPEN 2012,CANCELLED,?q=slick-sheet-project/high-efficiency-solar-cells,2013-03-20,Illinois,High-Efficiency Solar Cells,Distributed Generation, ,2939402,1.0,For-profit,Pivot,Persist,"They got another grant as part of FOCUS program, specifically trying to focus on high-temp operations",OPEN-2015
73,MicroLink Devices,"MicroLink Devices is developing a high-efficiency solar cell that can maintain efficient operation at high temperatures and leverage reusable cell templates to reduce overall cell cost. MicroLink's cell will be able to operate at temperatures above 400?C, unlike today's solar cells, which lose efficiency rapidly above 100?C and are likely to fail at high temperatures over time. MicroLink's specialized dual-junction design will allow the cell to extract significantly more energy from the sun at high temperature than today's cells, enabling the next generation of hybrid solar converters to deliver much higher quantities of electricity and useful dispatchable heat. When integrated into hybrid solar converters, heat rejected from the cells at high temperature can be stored and used to generate electricity when the sun is not shining.

",2016-08-04,FOCUS,CANCELLED,?q=slick-sheet-project/dual-junction-photovoltaic-topping-device-high-temp-operation,2014-06-11,Illinois,Dual-Junction Photovoltaic Topping Device for High-Temp Operation,Distributed Generation, ,2721984,0.0,For-profit,Pivot,Persist,Mostly space applications,News seems to be based on epi technology
74,Rutgers University SiCLAB,"The Rutgers University SiCLAB is developing a new power switch for utility-scale PV inverters that would improve the performance and significantly reduce the size, weight, and energy loss of PV systems. A power switch controls the electrical energy flowing through an inverter, which takes the electrical current from a PV solar panel and converts it into the type and amount of electricity that is compatible with the electric grid. SiCLAB is using silicon carbide (SiC) semiconductors in its new power switches, which are more efficient than the silicon semiconductors used to conduct electricity in most conventional power switches today. Switches with SiC semiconductors can operate at much higher temperatures, as well as higher voltage and power levels than silicon switches. SiC-based power switches are also smaller than those made with silicon alone, so they result in much smaller and lighter electrical devices. In addition to their use in utility-scale PV inverters, SiCLAB's new power switches can also be used in wind turbines, railways, and other smart grid applications.
",2013-01-20,Solar ADEPT,CANCELLED,?q=slick-sheet-project/new-switches-utility-scale-inverters,2011-12-23,New Jersey,New Switches for Utility Scale Inverters,Distributed Generation, ,260270,0.0,Non-profit,Perish,Pivot,"Not sure they're doing much with SiC, couldn't find any directly linked pubs",Research for this seemed to die out
75,"University of California, Santa Cruz (UC Santa Cruz)","The University of California, Santa Cruz (UC Santa Cruz) is developing an optical device that enables the use of concentrated solar energy at locations remote to the point of collection. Conventional solar concentration systems typically use line of sight optical components to concentrate solar energy onto a surface for direct conversion of light into electricity or heat. UC Santa Cruz's innovative approach leverages unique thin-film materials, processes, and structures to build a device that will efficiently guide sunlight into an optical fiber for use away from the point of collection. UC Santa Cruz's optical device improves the coupling of high-power, concentrated solar energy systems into fiber-optic cables for use in applications such as thermal storage, photovoltaic conversion, or solar lighting.
",2014-12-31,OPEN 2012,CANCELLED,?q=slick-sheet-project/efficient-collection-concentrated-solar,2013-05-01,California,Efficient Collection of Concentrated Solar,Distributed Generation, ,892432,1.0,Non-profit,Perish,Persist,One publication? Neither partner seems to be making tech.,Still publishing
