,companies,tagline,program,startDate,endDate,projectStatus,state,description,techCat1,techCat2,projecturl,companyCopy
386,NREL,INTEGRATE - Inverse Network Transformations for Efficient Generation of Robust Airfoil and Turbine Enhancements,DIFFERENTIATE,04/08/2020,04/07/2022,ACTIVE,Colorado,"The National Renewable Energy Laboratory (NREL) will develop a novel wind turbine design capability that enables designers to explore advanced technology concepts at a lower cost. This capability will harness the power of a deep neural network (DNN)-based inverse design methodology. To overcome challenges with the use of traditional DNNs in this application, NREL will develop innovative techniques to sparsify the neural network using active subspaces that will ensure that the model is invertible and can quickly zoom in on relevant designs at minimal cost. The models will be trained using data from computational fluid dynamics simulations, running on NREL's supercomputers, which in turn use machine learning assisted turbulence models to predict flow separation and stall observed in wind turbine flows.
",Transportation Energy Conversion, ,?q=slick-sheet-project/integrate-inverse-network-transformations-efficient-generation-robust-airfoil,NREL
393,National Renewable Energy Laboratory (NREL),Solar Thermoelectric Generator,OPEN 2012,02/01/2013,12/30/2018,ALUMNI,Colorado,"The National Renewable Energy Laboratory (NREL) is developing a solar thermoelectric generator to directly convert heat from concentrated sunlight to electricity. Thermoelectric devices can directly convert heat to electricity, yet due to cost and efficiency limitations they have not been viewed as a viable large-scale energy conversion technology. However, new thermoelectric materials have dramatically increased the efficiency of direct heat-to-electricity conversion. NREL is using these innovative materials to develop a new solar thermoelectric generator. This device will concentrate sunlight onto an absorbing surface on top of a thermoelectric stage, the resulting temperature difference between the top and bottom of the device will drive the generator to produce electricity at 3 times the efficiency of current systems. NREL's solar thermoelectric generator could reduce the cost associated with converting large amounts of solar energy into electricity through a much simpler and scalable process which does not rely upon moving parts and transfer fluids.
",Generation, ,?q=slick-sheet-project/solar-thermoelectric-generator,National Renewable Energy Laboratory (NREL)
394,National Renewable Energy Laboratory (NREL),Efficient Plastic Solar Cells,OPEN 2012,02/01/2013,04/30/2014,ALUMNI,Colorado,"The National Renewable Energy Laboratory (NREL) and the University of Colorado (CU) are developing a way to enhance plastic solar cells to capture a larger part of the solar spectrum. Conventional plastic solar cells can be inexpensive to fabricate but do not efficiently convert light into electricity. NREL is designing novel device architecture for plastic solar cells that would enhance the utilization of parts of the solar spectrum for a wide array of plastic solar cell types. To develop these plastic solar cells, NREL and CU will leverage computational modeling and advanced facilities specializing in processing plastic PVs. NREL's plastic solar cell devices have the potential to exceed the power conversion efficiencies of traditional plastic solar cells by up to threefold.
",Electrical Efficiency, ,?q=slick-sheet-project/efficient-plastic-solar-cells,National Renewable Energy Laboratory (NREL)
395,National Renewable Energy Laboratory (NREL),Economic Long-Duration Electricity Storage by Using Low-Cost Thermal Energy Storage and High-Efficiency Power Cycle,DAYS,04/16/2019,04/15/2022,ACTIVE,Colorado,"The National Renewable Energy Laboratory team will develop a high-temperature, low-cost thermal energy storage system using a high-performance heat exchanger and Brayton combined-cycle turbine to generate power. Electric heaters will heat stable, inexpensive solid particles to temperatures greater than 1100°C (2012°F) during charging, which can be stored in insulated silos for several days. To discharge the system, the hot particles will be fed through the fluidized bed heat exchanger, heating a working fluid to drive the gas turbine attached to a generator. The electricity storage system is designed to be deployed economically anywhere in the United States.

",Storage, ,?q=slick-sheet-project/economic-long-duration-electricity-storage-using-low-cost-thermal-energy-storage,National Renewable Energy Laboratory (NREL)
396,National Renewable Energy Laboratory (NREL),High-Efficiency PV Cells,OPEN 2015,04/22/2016,04/21/2020,ACTIVE,Colorado,"This project team, led by the National Renewable Energy Laboratory (NREL), will employ hydride vapor phase epitaxy (HVPE), a fast growth technique used to produce semiconductors, to lower the manufacturing cost of multijunction solar cells. Additionally the team will develop new materials to be used in the HVPE process, enabling a chemical liftoff method that allows reuse of substrates. The chemical liftoff will mitigate costs of substrates, further reducing the overall system cost. NREL's approach will leverage this improved HVPE technology to produce thin, flexible, highly efficient multijunction cells, with very high power at low cost. III-V PV has several inherent advantages over other PV materials, including higher efficiency, low temperature coefficients, and low material usage. The novel combination of HVPE growth of multijunction solar cells and substrate reuse could result in more cost-effective, higher performing multijunction solar cells, which could ultimately lower the cost and increase the efficiency of PV systems. These innovations could spur greater adoption of PV systems and reduce reliance on fossil-fuel power generation.

",Distributed Energy Resources, ,?q=slick-sheet-project/high-efficiency-pv-cells,National Renewable Energy Laboratory (NREL)
397,National Renewable Energy Laboratory (NREL),"RePED 250:  A Revolutionary, High-Drilling Rate, High-T Geothermal Drilling System and Companion (250 - 350°C) Power Electronics",OPEN 2018,09/20/2019,09/19/2022,ACTIVE,Colorado,"The National Renewable Energy Laboratory team will develop technologies and component devices enabling a high-rate drilling method using electric pulses to bore hot, deep geothermal wells. Compared to the softer, sedimentary rock typically found in oil and gas wells, geothermal rock is harder and less porous, and at significantly higher temperatures. These factors generate slow geothermal drilling rates averaging only 125 feet per day compared to greater than 40 times this achieved in sedimentary rock. If successful, the high-rate technology could transform drilling techniques across multiple industries. Project activities will focus on developing and testing pulsed power electronics capable of surviving the high temperatures encountered in geothermal rock. Component development will be carried out with systems integration in mind, enabling a rapid upgrade from a low-temperature rated drilling tool to a high-temperature version.
",Generation, ,?q=slick-sheet-project/reped-250-revolutionary-high-drilling-rate-high-t-geothermal-drilling-system-and,National Renewable Energy Laboratory (NREL)
398,National Renewable Energy Laboratory (NREL) ,SMARTDATA Grid Models,GRID DATA,08/24/2016,11/30/2020,ACTIVE,Colorado,"The National Renewable Energy Laboratory (NREL), with partner MIT-Comillas-IIT, will develop combined distribution-transmission power grid models. The team will create distribution models using a version of Comillas' Reference Network Model (RNM) that will be adapted to U.S. utilities and based on real data from a broad range of utility partners. The models will be complemented by the development of customizable scenarios that can be used for accurate algorithm comparisons. These scenarios will take into account unknown factors that affect the grid, such as future power generation technologies, increasing distributed energy resources, varying electrical load, disruptions due to weather events, and repeatable contingency sequences. These enhanced datasets and associated data building tools are intended to provide large-scale test cases that realistically describe potential future grid systems and enable the nation's research community to more accurately test advanced algorithms and control architectures. MIT-Comillas-IIT will assist NREL with the distribution model creation. Alstom Grid will assist in validating the distribution models.

",Grid, ,?q=slick-sheet-project/smartdata-grid-models,National Renewable Energy Laboratory (NREL)
399,National Renewable Energy Laboratory (NREL) ,Real-time Distributed Energy Resource Optimization,NODES,07/19/2016,01/18/2020,ALUMNI,Colorado,"The National Renewable Energy Laboratory (NREL) lead team will develop a comprehensive distribution network management framework that unifies real-time voltage and frequency control at the home/DER controllers' level with network-wide energy management at the utility/aggregator level. The distributed control architecture will continuously steer operating points of DERs toward optimal solutions of pertinent optimization problems, while dynamically procuring and dispatching synthetic reserves based on current system state and forecasts of ambient and load conditions. The control algorithms invoke simple mathematical operations that can be embedded on low-cost microcontrollers, and enable distributed decision making on time scales that match the dynamics of distribution systems with high renewable integration.
",Grid, ,?q=slick-sheet-project/real-time-distributed-energy-resource-optimization,National Renewable Energy Laboratory (NREL)
400,National Renewable Energy Laboratory (NREL) ,The Connected Traveler: A Framework to Reduce Energy Use in Transportation,TRANSNET,01/20/2016,12/31/2018,ALUMNI,Colorado,"The National Renewable Energy Laboratory (NREL) and its partners will create a network architecture that approaches sustainable transportation as a dynamic system of travelers and decision points, rather than one of vehicles and roads, in order to create personalized energy-saving opportunities. The project will use currently available demographic and transportation data from an urban U.S. city as a test bed for energy reduction. To incentivize travelers to pursue energy-efficient routes, the control architecture will develop algorithms to understand a traveler's preferences, tailor recommendations to the user, and identify personal incentives that will enable transportation system energy benefits. The Connected Traveler framework will provide local transportation authorities and individual travelers with a tool to identify personal travel decisions that balance quality of service with energy efficiency.

",Transportation Network, ,?q=slick-sheet-project/connected-traveler-framework-reduce-energy-use-transportation,National Renewable Energy Laboratory (NREL)
407,North Carolina State University (NC State),Liquid Fuel from Heat-Loving Microorganisms,Electrofuels,07/01/2010,12/31/2014,ALUMNI,North Carolina,"North Carolina State University (NC State) is working with the University of Georgia to create electrofuels from primitive organisms called extremophiles that evolved before photosynthetic organisms and live in extreme, hot water environments with temperatures ranging from 167-212 degrees Fahrenheit. The team is genetically engineering these microorganisms so they can use hydrogen to turn carbon dioxide directly into alcohol-based fuels. High temperatures are required to distill the biofuels from the water where the organisms live, but the heat-tolerant organisms will continue to thrive even as the biofuels are being distilled--making the fuel-production process more efficient. The microorganisms don't require light, so they can be grown anywhere--inside a dark reactor or even in an underground facility.

",Transportation Fuels, ,?q=slick-sheet-project/liquid-fuel-heat-loving-microorganisms,North Carolina State University (NC State)
408,North Carolina State University (NC State) ,Management and Control System for Advanced Reactors,MEITNER,10/01/2018,03/31/2021,ACTIVE,North Carolina,"North Carolina State University (NC State) will develop a highly automated management and control system for advanced nuclear reactors. The system will provide operations recommendations to staff during all modes of plant operation except shutdown operations. Using an artificial-intelligence (AI) guided system enabling continuous extensive monitoring of plant status, knowledge of current component status, and plant parameter trends, the system will continuously predict near-term behavior within the plant and recommend a course of action to plant personnel. If successful, this comprehensive, knowledge-based control system for credible, consistent management of plant operations will improve safety and optimize emergency management in advanced reactors. AI-guided models trained on data from plant monitoring instruments combined with expectations generated by advanced modeling and simulation can vastly improve the effectiveness of plant diagnosis and prognosis in plant management, as well as enable vulnerability search in safety analysis. In particular, the system will greatly increase the time available before operator action is required. This means that a significantly smaller operational staff--assisted by instrumentation, operator training, and smart procedures--is needed to manage the plant, reducing overall operational cost.

",Generation, ,?q=slick-sheet-project/management-and-control-system-advanced-reactors,North Carolina State University (NC State)
410,Northeastern University,Power Converter for Photovoltaic Applications,IDEAS,12/06/2016,12/05/2017,ALUMNI,Massachusetts,"Northeastern University will develop a new class of universal power converters that can be used in a wide range of applications including renewable energy systems, automotive, and manufacturing technologies. Northeastern will focus the project on the design, simulation, prototyping, and experimental evaluation for PV systems. This project proposes a new class of converters that can both step up and step down the voltage. This converter uses a very small film capacitor for transferring the power from the input to the output. The proposed technology eliminates the need for electrolytic capacitors, and can double the lifetime and reliability of power converters. The power density of this class of power converters is also high since it can use an integrated, single-phase, high-frequency transformer instead of heavy and bulky low-frequency transformers. In this project, two 3kW prototypes will be fabricated and tested. The first will use silicon insulated-gate bipolar transistors and its switching frequency will be below 10kHz. The second prototype will employ silicon carbide (SiC) metal oxide semiconductor Field-Effect Transistors (MOSFETs) with the target switching frequency at 50kHz. Significant reduction (6X) in inverter weight and improvement in inverter efficiency (&gt; 1.5%) is expected in the proposed solution that combines the novel circuit topology and the SiC transistors over traditional PV inverters.

",Electrical Efficiency, ,?q=slick-sheet-project/power-converter-photovoltaic-applications,Northeastern University
411,Northeastern University,Iron-Nickel-Based Supermagnets,REACT,02/24/2012,12/31/2013,ALUMNI,Massachusetts,"Northeastern University is developing bulk quantities of rare-earth-free permanent magnets with an iron-nickel crystal structure for use in the electric motors of renewable power generators and EVs. These materials could offer magnetic properties that are equivalent to today's best commercial magnets, but with a significant cost reduction and diminished environmental impact. This iron-nickel crystal structure, which is only found naturally in meteorites and developed over billions of years in space, will be artificially synthesized by the Northeastern University team. Its material structure will be replicated with the assistance of alloying elements introduced to help it achieve superior magnetic properties. The ultimate goal of this project is to demonstrate bulk magnetic properties that can be fabricated at the industrial scale.

",Resource Efficiency, ,?q=slick-sheet-project/iron-nickel-based-supermagnets,Northeastern University
412,Northeastern University,Zero-Power Wireless Infrared Digitizing Sensors for Large Scale Energy-Smart Farm,OPEN 2018,03/13/2019,03/12/2022,ACTIVE,Massachusetts,"Northeastern University will develop a maintenance-free sensor network to improve energy and agricultural efficiency by monitoring water content in biofuel feedstocks. The team's zero-power sensors will form distributed networks that can capture, process, and communicate in-field data to help farmers determine how to maximize yield. Specifically, sensors will monitor water stress-related plant characteristics and relay this data wirelessly to a control center in the irrigation system. The proposed technology does not consume any power in standby mode, eliminating the cost of battery replacements.
",Transportation Fuels, ,?q=slick-sheet-project/zero-power-wireless-infrared-digitizing-sensors-large-scale-energy-smart-farm,Northeastern University
413,Northeastern University,Universal Converter for AC Systems,CIRCUITS,12/21/2017,12/20/2020,ACTIVE,Massachusetts,"Northeastern University will develop a new class of universal power converters that use the fast switching and high breakdown voltage properties of silicon carbide (SiC) switches to significantly reduce system weight, volume, cost, power loss, and failure rates. Northeastern's proposed 10 kW SiC based high-frequency converter topology minimizes the size of passive components that are used for power transfer, and replaces electrolytic capacitors with short lifetimes with film capacitors. The proposed universal converter can be used for transferring power from any type of source to any type of load. It can be used when the instantaneous values of input and output power do not match even without having large passive components, or increasing the number of passive components. If successful, the proposed converter and innovative control strategy has the potential to create a new paradigm in power electronics that could influence numerous applications, such as electric vehicles, wind energy systems, photovoltaic systems, industrial motor drives, residential variable frequency drive systems, and nanogrid applications.

",Electrical Efficiency, ,?q=slick-sheet-project/universal-converter-ac-systems,Northeastern University
416,Northwestern University,New Synthetic Catalysts for Methane Activation,REMOTE,02/12/2014,11/15/2015,ALUMNI,Illinois,"Northwestern University and partners will leverage computational protein design to engineer and repurpose a natural catalyst to convert methane gas to liquid fuel. Current industrial processes to convert methane to liquid fuels are costly, or inefficient and wasteful. To address this, Northwestern University will alter natural catalysts to create versatile new protein catalysts that convert methane to methanol which can more easily integrate into fuel production pathways. Northwestern will also engineer an additional protein catalysts to couple, or join, two molecules of methane together, a process critical towards producing longer chain ""hydrocarbons"" similar to those found in gasoline. Northwestern University's simplified catalysts will provide a better alternative to existing methane converting enzymes and can be incorporated into multiple types of processes.
",Transportation Fuels, ,?q=slick-sheet-project/new-synthetic-catalysts-methane-activation,Northwestern University
420,Oak Ridge National Laboratory (ORNL),Magnetic Amplifier for Power Flow Control,GENI,02/24/2012,06/30/2017,ALUMNI,Tennessee,"Oak Ridge National Laboratory (ORNL) is developing an electromagnet-based, amplifier-like device that will allow for complete control over the flow of power within the electric grid. To date, complete control of power flow within the grid has been prohibitively expensive. ORNL's controller could provide a reliable, cost-effective solution to this problem. The team is combining two types of pre-existing technologies to assist in flow control, culminating in a prototype iron-based magnetic amplifier. Ordinarily, such a device would require expensive superconductive wire, but the magnetic iron core of ORNL's device could serve as a low-cost alternative that is equally adept at regulating power flow.

",Grid, ,?q=slick-sheet-project/magnetic-amplifier-power-flow-control,Oak Ridge National Laboratory (ORNL)
421,Oak Ridge National Laboratory (ORNL),Nanocomposite Electrodes for a Solid Acid Fuel Cell Stack,REBELS,10/01/2014,10/07/2017,ALUMNI,Tennessee,"Oak Ridge National Laboratory (ORNL) is redesigning a fuel cell electrode that operates at 250ºC. Today's solid acid fuel cells (SAFCs) contain relatively inefficient cathodes, which require expensive platinum catalysts for the chemical reactions to take place. ORNL's fuel cell will contain highly porous carbon nanostructures that increase the amount of surface area of the cell's electrolyte, and substantially reduce the amount of catalyst required by the cell. By using nanostructured electrodes, ORNL can increase the performance of SAFC cathodes at a fraction of the cost of existing technologies. The ORNL team will also modify existing fuel processors to operate efficiently at reduced temperatures; those processors will work in conjunction with the fuel cell to lower costs at the system level. ORNL's innovations will enable efficient distributed electricity generation from domestic fuel sources using less expensive catalysts.

",Distributed Energy Resources, ,?q=slick-sheet-project/nanocomposite-electrodes-solid-acid-fuel-cell-stack,Oak Ridge National Laboratory (ORNL)
422,Oak Ridge National Laboratory (ORNL),Light-weight Battery with Built-in Safety Features,RANGE,06/01/2014,12/31/2015,ALUMNI,Tennessee,"Oak Ridge National Laboratory (ORNL) is developing an abuse-tolerant EV battery. Abuse tolerance is a key factor for EV batteries. Robust batteries allow for a broader range of battery chemistries, including low-cost chemistries that could improve driving range and enable cost parity with gas-powered vehicles. ORNL's design would improve battery abuse tolerance at the cell level, thereby reducing the need for heavy protective battery housing. This will enable an EV system that would be lighter and more efficient, both reducing weight and cost and allowing the vehicle to drive further on each charge. ORNL will be researching a new architecture within each cell that will reduce the likelihood of a thermal damage in the event of an abuse situation. The new architecture incorporates a novel foil concept into the battery current collectors. In event of impact, crushing or penetration of the battery, the novel current collector will limit the connectivity and/or conductivity of the battery electrode assembly and hence limit the current at the site of an internal or external short.  Limiting the current will avoid the local heating that can trigger thermal excitation and battery damage.

",Transportation Storage, ,?q=slick-sheet-project/light-weight-battery-built-safety-features,Oak Ridge National Laboratory (ORNL)
423,Oak Ridge National Laboratory (ORNL),Temperature-Regulated Batteries,AMPED,10/01/2012,02/15/2015,ALUMNI,Tennessee,"Oak Ridge National Laboratory (ORNL) is developing an innovative battery design to more effectively regulate destructive isolated hot-spots that develop within a battery during use and eventually lead to degradation of the cells. Today's batteries are not fully equipped to monitor and regulate internal temperatures, which can negatively impact battery performance, life-time, and safety. ORNL's design would integrate efficient temperature control at each layer inside lithium ion (Li-Ion) battery cells. In addition to monitoring temperatures, the design would provide active cooling and temperature control deep within the cell, which would represent a dramatic improvement over today's systems, which tend to cool only the surface of the cells. The elimination of cell surface cooling and achievement of internal temperature regulation would have significant impact on battery performance, life-time, and safety.

",Electrical Efficiency, ,?q=slick-sheet-project/temperature-regulated-batteries,Oak Ridge National Laboratory (ORNL)
424,Oak Ridge National Laboratory (ORNL),Multilayer Insulating Film,SHIELD,02/06/2017,06/19/2017,CANCELLED,Tennessee,"Oak Ridge National Laboratory (ORNL) and its partners are creating a highly transparent, multilayer window film that can be applied onto single-pane windows to improve thermal insulation, soundproofing, and condensation resistance. The ORNL film combines four layers. Low-cost, nanoporous silica will be used to improve thermal insulation. A layer of a sound-absorbing polymer, which is commonly applied to windows for soundproofing, will be added between the silica sheets to reduce outside noise infiltration. A final outside superhydrophobic coating layer will minimize the condensation. A low-emissivity film will be added to minimize heat transfer out from the conditioned interior.

",Building Efficiency, ,?q=slick-sheet-project/multilayer-insulating-film,Oak Ridge National Laboratory (ORNL)
425,Oak Ridge National Laboratory (ORNL),Impact-Resistant Electrolyte,RANGE,11/01/2013,10/31/2015,ALUMNI,Tennessee,"Oak Ridge National Laboratory (ORNL) is developing an electrolyte for use in EV batteries that changes from liquid to solid during collisions, eliminating the need for many of the safety components found in today's batteries. Today's batteries contain a flammable electrolyte and an expensive polymer separator to prevent electrical shorts--in an accident, the separator must prevent the battery positive and negative ends of the battery from touching each other and causing fires or other safety problems. ORNL's new electrolyte would undergo a phase change--from liquid to solid--in the event of an external force such as a collision. This phase change would produce a solid impenetrable barrier that prevents electrical shorts, eliminating the need for a separator. This would improve the safety and reduce the weight of the vehicle battery system, ultimately resulting in increased driving range.

",Transportation Storage, ,?q=slick-sheet-project/impact-resistant-electrolyte,Oak Ridge National Laboratory (ORNL)
426,Oak Ridge National Laboratory (ORNL) ,Robust Metal Alloys,OPEN 2015,04/05/2016,10/04/2020,ACTIVE,Tennessee,"The team led by Oak Ridge National Laboratory (ORNL) will develop new cast alumina-forming austenitic alloys (AFAs), along with associated casting and welding processes for component fabrication. ORNL and its partners will prototype industrial components with at least twice the oxidation resistance compared to current cast chromia-forming steel and test it in an industrial environment. These innovations could allow various industrial and chemical processing systems and gas turbines to operate at higher temperatures to improve efficiencies and reduce downtimes, thus providing cost and energy reductions for a wide range of energy-intensive applications.

",Manufacturing Efficiency, ,?q=slick-sheet-project/robust-metal-alloys,Oak Ridge National Laboratory (ORNL)
427,Oak Ridge National Laboratory (ORNL) ,More information on ORNL's project is coming soon!,INTEGRATE,06/19/2018,06/18/2020,ACTIVE,Tennessee,"el-panel panel-col-middle"">
<div class=""inside"">
",Distributed Energy Resources, ,?q=slick-sheet-project/more-information-ornls-project-coming-soon,Oak Ridge National Laboratory (ORNL)
428,Oak Ridge National Laboratory (ORNL) ,More information on ORNL's project is coming soon!,MEITNER,07/29/2019,01/28/2022,ACTIVE,Tennessee,"el-panel panel-col-middle"">
<div class=""inside"">
",Generation, ,?q=slick-sheet-project/more-information-ornls-project-coming-soon-0,Oak Ridge National Laboratory (ORNL)
429,Oak Ridge National Laboratory (ORNL) ,Metastable And Glassy Ionic Conductors,IONICS,02/08/2017,08/30/2019,ALUMNI,Tennessee,"Oak Ridge National Laboratory (ORNL) will develop glassy Li-ion conductors that are electrochemically and mechanically stable against lithium metal and can be integrated into full battery cells. Metallic lithium anodes could significantly improve the energy density of batteries versus today's state-of-the-art lithium ion cells. ORNL has chosen glass as a solid barrier because the lack of grain boundaries in glass mitigates the growth of branchlike metal fibers called dendrites, which short-circuit battery cells. The team aims to identify a glassy electrolyte with high conductivity, explore novel and cost-effective ways to fabricate this thin glass electrolyte, and design electrolyte membranes that are sufficiently robust to prevent cracking and degradation during battery fabrication and cycling. Advanced glass processing using rapid quench methods will enable a range of compositions and microstructures as well as their cost-effective fabrication as thin, dense membranes. In addition to glass composition, a range of membrane designs will be investigated by modeling and experiment. For efficient battery fabrication, the glassy membrane will likely require mechanical support and protection, which could be achieved by employing polymers or ceramic layers as a support.

","iv></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term: </div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2017-02-08T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">02/08/2017</span> to <span class=""date-display-end"" content=""2019-08-30T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">08/30/2019</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status: </div><div class=""field-items""><div class=""field-item even"">ALUMNI</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State: </div><div class=""field-items""><div class=""field-item even"">Tennessee</div></div></div></div>
</div", ,?q=slick-sheet-project/metastable-and-glassy-ionic-conductors,Oak Ridge National Laboratory (ORNL)
430,Oak Ridge National Laboratory (ORNL) ,High-Efficiency Energy Converters,OPEN 2015,05/01/2016,09/30/2020,ACTIVE,Tennessee,"The team led by Oak Ridge National Laboratory (ORNL) will design proton-selective membranes for use in storage technologies, such as flow batteries, fuel cells, or electrolyzers for liquid-fuel storage. Current proton-selective membranes (e.g. Nafion) require hydration, but the proposed materials would be the first low-temperature membranes that conduct protons without the need for hydration. The enabling technology relies on making single-layer membranes from graphene or similar materials and supporting them for mechanical stability. The team estimates that these membranes can be manufactured at costs around one order of magnitude lower than Nafion membranes. Due to the lower system complexity, the team's innovations would enable fuel cell production at lower system-level costs.

",Storage, ,?q=slick-sheet-project/high-efficiency-energy-converters-0,Oak Ridge National Laboratory (ORNL)
432,Ocean Era,KRuMBS: Kyphosid Ruminant Microbial Biodigestion of Seaweeds,OPEN 2018,08/07/2019,08/06/2022,ACTIVE,Hawa,"KRuMBS will develop novel bioprocesses to degrade marine macroalgae to bioenergy products (methane, alcohols, etc.). The microorganisms used in the bioprocess will be derived from the gut of ruminant marine finfish (Kyphosidae). While there is abundant potential for expansion of macroalgae production in offshore environments, they are difficult to transform into salable products. The team will work with its partners to isolate, optimize, and deploy microbial consortia and individual microorganisms capable of rapidly digesting macroalgal biomass in a highly scalable way. This will enable macroalgae as feedstock for bioconversion to domestic liquid and gaseous bioenergy molecules, replacing imported fuels in the chemical supply chain, offering a huge marine greenhouse gas sink, and eliminating biofuel land-use changes.

",Transportation Fuels, ,?q=slick-sheet-project/krumbs-kyphosid-ruminant-microbial-biodigestion-seaweeds,Ocean Era
438,Oregon State University (OSU),Bioreactor Using Ultra-Thin Plates,REMOTE,01/01/2014,08/31/2017,ALUMNI,Oregon,"Oregon State University (OSU) will develop a small-scale bioreactor that can enable high-rate, low cost bioconversion of methane to liquid fuel. Current systems to convert methane using microorganisms can be slow and inefficient due to the low rate at which methane gas and nutrients are transferred to biocatalysts as well as the build-up of toxins that affect the health of biocatalysts. Using an ultra-thin, stacked ""Bio-Lamina-Plate"" system OSU will attempt to improve the overall rate at which methane is transferred to the biocatalysts. This new reactor design also helps to improve the rate at which oxygen is provided and products are removed from the system. The reactor design improves the amount of surface exposed relative to the volume of biofilm and provides better heat transfer to improve overall reactor efficiency. Unlike reactors build using stainless steel, OSU's reactor may use low-cost materials such as plastic and glass, as well as simple fabrication techniques to reduce the bioreactor manufacturing costs.
",Transportation Fuels, ,?q=slick-sheet-project/bioreactor-using-ultra-thin-plates,Oregon State University (OSU)
439,Oregon State University (OSU),Home Generator Benchmarking Program,IDEAS,07/15/2014,07/31/2016,ALUMNI,Oregon,"Oregon State University (OSU) will precisely measure the performance of three commercially-available home generators. The team will collect data on engine efficiency, endurance, emissions, and calculate a levelized cost of electricity (LCOE) for each generator. Published data on the performance of small generators is scarce, which has hampered efforts to identify where new technologies can be applied to improve the efficiency of small generators. The rigorous and repeatable measurements collected through this project will be an important step forward in developing future high-performance distributed power generation systems.

",Generation, ,?q=slick-sheet-project/home-generator-benchmarking-program,Oregon State University (OSU)
440,Oregon State University (OSU) ,Natural Gas to Fuels,OPEN 2015,05/16/2016,07/31/2019,ALUMNI,Oregon,"The team led by Oregon State University (OSU) is developing a novel gas-to-liquid (GTL) technology that utilizes a ""corona discharge"" plasma to convert methane to higher value chemicals, such as ethylene or liquid fuels. A corona discharge is formed when a high voltage is applied across a gap with a shaped electrode that concentrates the electric field at a tip. At sufficiently high voltage, an electrical discharge (characterized by a faint glow - a corona) is formed, and ionizes the surrounding gas molecules, i.e. split them into positive ions and free electrons. The team will build a reactor consisting of an array of micro-structured conducting surfaces to form corona discharges that ionize methane molecules and recombine the ionized components to form longer chain hydrocarbons with higher value. The key advantages of this technology are the innovative reactor design, which will allow small-scale production, as well as the high energy and conversion efficiencies, resulting in less energy being consumed to convert methane to liquid fuels.

",Transportation Fuels, ,?q=slick-sheet-project/natural-gas-fuels,Oregon State University (OSU)
442,Otherlab,AIKIDO : Advanced Inertial and Kinetic energy recovery through Intelligent (co)-Design Optimization.,ATLANTIS,04/06/2020,04/05/2022,ACTIVE,California,"Traditional wind turbines have grown larger to reach the higher wind speeds found at greater heights and enable the blades to intercept a larger area of wind. The stiffness required to hold up the blades and nacelle has caused turbines to become extremely heavy and consequently expensive. Applying novel CCD paradigms, Otherlab will develop a new architecture for wind systems based on compliant materials, energy-generating structural surfaces, and advanced control systems that overcome the need for stiff, expensive materials by actively controlling how the system interacts with the environment.
",Generation, ,?q=slick-sheet-project/aikido-advanced-inertial-and-kinetic-energy-recovery-through-intelligent-co,Otherlab
443,Otherlab,Passive Thermo-Adaptive Textiles,DELTA,05/08/2015,12/07/2019,ACTIVE,California,"Otherlab will develop thermally adaptive materials that change their thickness in response to temperature changes, allowing the creation of garments that passively respond to variations in temperature. In contrast to existing garments that have a constant insulation value whether conditions are hot or cold, thermally adaptive materials change shape as temperature changes, leading to a change in insulation. The material change is a physical response, passively operating and requiring no input from the wearer or any control system. Garments made from thermally adaptive fabrics will enable the wearing of fewer layers of clothing for comfort over a broader temperature range, effectively lowering the heating and cooling requirements for buildings. Beyond apparel, this advanced insulation may find applications in drapery and bedding.

",Building Efficiency, ,?q=slick-sheet-project/passive-thermo-adaptive-textiles,Otherlab
444,Otherlab,Visualizing Energy Dat,IDEAS,03/01/2017,03/19/2018,ALUMNI,California,"Otherlab will develop an open-source tool to enable higher resolution investigation and visualization of energy flows throughout the country. The core visual component is an interactive Sankey diagram with an intuitive interface that will allow users to examine the flows of energy and materials by industry, region, and economic sector. Behind the visualizations, sophisticated algorithms will aggregate and reconcile data from a wide variety of publically available sources in various formats to present an integrated view of energy and material imports, exports, and flows in the U.S. economy. The project's aim is to characterize these flows to an unprecedented resolution of 0.1% of the U.S. energy economy. The tool will incorporate both the specificity and comprehensiveness necessary to aid decision makers across the energy industry in identifying opportunities and planning energy research and technology development. By maintaining the tool in an open-source format, developers from across the country can assist in providing additional input on data sources, processing algorithms, and visualizations to improve accuracy and usability. Producing the open-source visualization tool will require three interdependent tasks. First, energy data will be collected, verified, and prepared for use. Next, the team will conduct user interface work and usability studies to ensure that the output reaches the broadest audience in the most useful manner. Finally, the team will pursue its final implementation as a web-based tool.

",Resource Efficiency, ,?q=slick-sheet-project/visualizing-energy-data,Otherlab
