,Unnamed: 0,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount
313,313,City University of New York (CUNY) Energy Institute,"City University of New York (CUNY) Energy Institute is developing less expensive, more efficient, smaller, and longer-lasting power converters for energy-efficient LED lights. LEDs produce light more efficiently than incandescent lights and last significantly longer than compact fluorescent bulbs, but they require more sophisticated power converter technology, which increases their cost. LEDs need more sophisticated converters because they require a different type of power (low-voltage direct current, or DC) than what's generally supplied by power outlets. CUNY Energy Institute is developing sophisticated power converters for LEDs that contain capacitors made from new, nanoscale materials. Capacitors are electrical components that are used to store energy. CUNY Energy Institute's unique capacitors are configured with advanced power circuits to more efficiently control and convert power to the LED lighting source. They also eliminate the need for large magnetic components, instead relying on networks of capacitors that can be easily printed on plastic substrate. CUNY Energy Institute's prototype LED power converter already meets DOE's 2020 projections for the energy efficiency of LED power converters.
",2/28/2014,ADEPT,ALUMNI,?q=slick-sheet-project/metacapacitors-led-lighting,9/2/2010,New York,Metacapacitors for LED Lighting,Electrical Efficiency, ,1568278
314,314,City University of New York (CUNY) Energy Institute,"City University of New York (CUNY) Energy Institute is working to tame dendrite formation and to enhance the lifetime of Manganese in order to create a long-lasting, fully rechargeable battery for grid-scale energy storage. Traditional consumer-grade disposable batteries are made of Zinc and Manganese, two inexpensive, abundant, and non-toxic metals, but these disposable batteries can only be used once. If they are recharged, the Zinc in the battery develops filaments called dendrites that grow haphazardly and disrupt battery performance, while the Manganese quickly loses its ability to store energy. CUNY Energy Institute is also working to reduce dendrite formation by pumping fluid through the battery, enabling researchers to fix the dendrites as they form. The team has already tested its Zinc battery through 3,000 recharge cycles (and counting). CUNY Energy Institute aims to demonstrate a better cycle life than lithium-ion batteries, which can be up to 20 times more expensive than Zinc-based batteries.

",3/31/2015,GRIDS,ALUMNI,?q=slick-sheet-project/flow-assisted-alkaline-battery,9/15/2010,New York,Flow-Assisted Alkaline Battery,Storage, ,3494708
315,315,Codexis,"Codexis is developing new and efficient forms of enzymes known as carbonic anhydrases to absorb CO<sub>2</sub> more rapidly and under challenging conditions found in the gas exhaust of coal-fired power plants. Carbonic anhydrases are common and are among the fastest enzymes, but they are not robust enough to withstand the harsh environment found in the power plant exhaust steams. In this project, Codexis will be using proprietary technology to improve the enzymes' ability to withstand high temperatures and large swings in chemical composition. The project aims to develop a carbon-capture process that uses less energy and less equipment than existing approaches. This would reduce the cost of retrofitting today's coal-fired power plants.
",6/30/2012,IMPACCT,ALUMNI,?q=slick-sheet-project/better-enzymes-carbon-capture,7/1/2010,California,Better Enzymes for Carbon Capture,Resource Efficiency, ,4657045
316,316,Cogenra Solar,"Cogenra Solar is developing a hybrid solar converter with a specialized light-filtering mirror that splits sunlight by wavelength, allowing part of the sunlight spectrum to be converted directly to electricity with photovoltaics (PV), while the rest is captured and stored as heat. By integrating a light-filtering mirror that passes the visible part of the spectrum to a PV cell, the system captures and converts as much as possible of the photons into high-value electricity and concentrates the remaining light onto a thermal fluid, which can be stored and be used as needed. Cogenra's hybrid solar energy system also captures waste heat from the solar cells, providing an additional source of low-temperature heat. This hybrid converter could make more efficient use of the full solar spectrum and can provide inexpensive solar power on demand.
",7/9/2016,FOCUS,ALUMNI,?q=slick-sheet-project/hybrid-solar-converter-light-filtering-mirror,7/10/2014,California,Hybrid Solar Converter with Light-Filtering Mirror,Distributed Generation, ,1003329
317,317,Colorado School of Mines,"The Colorado School of Mines will develop a membrane reactor concept to synthesize ammonia at ambient pressure. In traditional ammonia production processes, nitrogen (N<sub>2</sub>) and hydrogen (H<sub>2</sub>) compete for identical catalyst sites, and the presence of each inhibits the other, with the overall rate reflecting a compromise. The team proposes decoupling and independently controlling the N<sub>2</sub> and H<sub>2</sub> dissociation by dedicating one side of the composite membrane to each. In this way, the catalysts may be individually optimized. Highly effective catalysts have been previously demonstrated for H<sub>2</sub> dissociation, and the team's focus will be on exploring early transition metals which have shown great promise as catalysts for N<sub>2</sub> dissociation. When perfected, this technology will allow the production of ammonia at ambient pressure, reducing the scale and number of steps required in the process. This method is also an improvement over electrochemical processes, which have a more complicated design and reduced efficiency due to the need for an external voltage.

",7/31/2018,IDEAS,ALUMNI,?q=slick-sheet-project/ammonia-synthesis-membrane-reactor,9/27/2016,Colorado,Ammonia Synthesis Membrane Reactor,Storage, ,500000
318,318,Colorado School of Mines,"The Colorado School of Mines will develop a new method for the high-throughput discovery and screening of thermoelectric materials. The objective is to develop a new class of thermoelectric materials that can enable heat-to-electricity efficiencies greater than 20%. Aerosol spray deposition will be used to collect particles on the solid surfaces, allowing high throughput synthesis with finely tuned composition control. To achieve the thermoelectric performance desired, a tight feedback loop between synthesis, characterization, and theory will be employed to actively guide the design of experiments. To identify materials with high mobility and low thermal conductivity, the team developed metrics that combine experimental and computational training data. These efforts are guided by the team's existing high-throughput calculation database, which has identified specific families of previously unexplored materials with high potential for thermoelectric performance. Over the last two years, these computational methods have been applied to 10,000 compounds, yielding the most extensive database of thermoelectric performance in the world. By considering thousands of compositions within a single structural family, trends in electronic and thermal conductivity emerge that could not have been predicted from a few samples produced with traditional bulk ceramic methods. High-throughput search techniques are particularly critical because the desired qualities are likely to only occur within a narrow chemical composition. The team expects to grow and characterize more than 20 macroscopic samples per day, a significant increase in throughput compared to conventional approaches.

",9/12/2018,IDEAS,ALUMNI,?q=slick-sheet-project/thermoelectric-materials-discovery,3/13/2017,Colorado,Thermoelectric Materials Discovery,Resource Efficiency, ,500000
319,319,Colorado State University (CSU),"Colorado State University (CSU) is developing technology to rapidly introduce novel traits into crops that currently cannot be readily engineered. Presently, a limited number of crops can be engineered, and the processes are not standardized - restricting the agricultural sources for engineered biofuel production. More--and more diverse--biofuel crops could substantially improve the efficiency, time scale, and geographic range of biofuel production. CSU's approach would enable simple and efficient engineering of a broad range of bioenergy crops using synthetic biology tools to standardize their genetic modification.
",10/3/2015,OPEN 2012,ALUMNI,?q=slick-sheet-project/more-options-bioenergy-crops,4/4/2013,Colorado,More Options for Bioenergy Crops,Transportation Fuels, ,1576999
320,320,Columbia University,"Columbia University will develop a new platform for generating multiple simultaneous optical channels (wavelengths) with low power dissipation, thereby enabling optical interconnects for low power computing. Optical interconnect links communicate using optical fibers that carry light. Wavelength-division multiplexing (WDM) is a technology that combines a number of optical carrier signals on a single optical fiber by using different wavelengths. This technique enables bidirectional communications over strands of fiber, dramatically increasing capacity. Low-power lasers generate the wavelengths used in a WDM system, but it is important to stabilize the wavelength for each channel to allow for precise separation and filtering. The importance of stabilization increases when the number and density of wavelength channels increases. Energy use also increases because each of the laser sources must be individually stabilized. In contrast, the Columbia team proposes using a single high-powered stabilized laser to generate greater than 50 wavelength sources with high efficiency using an on-chip comb. This approach can improve laser energy efficiency from 0.01% to 10%.

",3/3/2017,IDEAS,ALUMNI,?q=slick-sheet-project/computing-through-silicon-photonics,3/4/2016,New York,Computing Through Silicon Photonics,Electrical Efficiency, ,500000
321,321,Columbia University,"Columbia University is using carbon dioxide (CO<sub>2</sub>) from ambient air, ammonia--an abundant and affordable chemical--and a bacteria called N. europaea to produce liquid fuel. The Columbia University team is feeding the ammonia and CO<sub>2</sub> into an engineered tank where the bacteria live. The bacteria capture the energy from ammonia and then use that energy to convert CO<sub>2</sub> into a liquid fuel. When the bacteria use up all the ammonia, renewable electricity can regenerate it and pump it back into the system--creating a continuous fuel-creation cycle. In addition, Columbia University is also working with the bacteria A. ferrooxidans to capture and use energy from ferrous iron to produce liquid fuels from CO<sub>2</sub>.

",6/30/2014,Electrofuels,ALUMNI,?q=slick-sheet-project/biofuels-bacteria-electricity-and-co2,7/1/2010,New York,"Biofuels from Bacteria, Electricity, and CO2",Transportation Fuels, ,1505985
322,322,Columbia University,"The innovation lies in the exploitation of novel natural energy source: reduced metal deposits.  The energy released during oxidation of these metals could be used to reduce CO<sub>2</sub> into fuels and chemicals reducing petroleum usage.This proposed project fits within the Chemical-Chemical Area of Interest, as it involves the coupling of the oxidation of reduced minerals in the Earth's crust to the production of reduced carbon chemicals for fuel utilization. This addresses both of Mission Areas of ARPA-E as the co-generation of fuels during copper bioleaching will potentially reduce the import of energy from foreign sources, reduce greenhouse gas emissions, improve energy efficiency in the mining industry, and ensure that the U.S. maintains a lead in the development of this disruptive new technology.

",5/30/2016,IDEAS,ALUMNI,?q=slick-sheet-project/co-generation-fuels-during-copper-bioleaching,3/1/2015,New York,Co-Generation of Fuels During Copper Bioleaching,Transportation Fuels, ,475221
323,323,Columbia University ,"The Columbia University team is developing a proof-of-concept solid-state solution to generate electricity from high-temperature waste heat (~900 K) using thermal radiation between a hot object placed in extreme proximity (&lt;100 nm) to a cooler photovoltaic (PV) cell. In this geometry, thermal radiation can be engineered such that its spectrum is quasi-monochromatic and aligned with the PV cell's bandgap frequency. In this case, it is estimated that electricity can be generated with a conversion efficiency beyond 25% and with a power density that could greatly outperform currently available thermal photovoltaic devices and other thermoelectric generator designs. To overcome the significant challenge of maintaining the proper distance between a hot side emitter and a cooler PV junction to prevent device shorting, the team will develop microelectromechanical actuation systems to optimally orient the PV cell. By providing a universal solid-state solution that can, in principle, be mounted and scaled to any hot surface, this technology could help retrieve a significant fraction of heat wasted by U.S. industries
",9/9/2017,IDEAS,ALUMNI,?q=slick-sheet-project/integrated-power-adapter-0,6/10/2016,New York,Integrated Power Adapter,Distributed Generation, ,500000
324,324,Columbia University,"Columbia University is developing a process to pull CO<sub>2</sub> out of the exhaust gas of coal-fired power plants and turn it into a solid that can be easily and safely transported, stored above ground, or integrated into value-added products (e.g. paper filler, plastic filler, construction materials, etc.). In nature, the reaction of CO<sub>2</sub> with various minerals over long periods of time will yield a solid carbonate--this process is known as carbon mineralization. The use of carbon mineralization as a CO<sub>2</sub> capture and storage method is limited by the speeds at which these minerals can be dissolved and CO<sub>2</sub> can be hydrated. To facilitate this, Columbia University is using a unique process and a combination of chemical catalysts which increase the mineral dissolution rate, and the enzymatic catalyst carbonic anhydrase which speeds up the hydration of CO<sub>2</sub>.
",1/15/2014,IMPACCT,ALUMNI,?q=slick-sheet-project/chemically-accelerated-carbon-mineralization,7/16/2010,New York,Chemically Accelerated Carbon Mineralization,Resource Efficiency, ,1254752
325,325,Cornell University,"Cornell University is developing a new photobioreactor that is more efficient than conventional bioreactors at producing algae-based fuels. Traditional photobioreactors suffer from several limitations, particularly poor light distribution, inefficient fuel extraction, and the consumption of large amounts of water and energy. Cornell's bioreactor is compact, making it more economical to grow engineered algae and collect the fuel the algae produces. Cornell's bioreactor also delivers sunlight efficiently through low-cost, plastic, light-guiding sheets. By distributing optimal amounts of sunlight, Cornell's design would increase efficiency and decrease water use compared to conventional algae reactors.

",5/1/2014,OPEN 2012,ALUMNI,?q=slick-sheet-project/efficient-photobioreactor-algae-based-fuel,2/1/2013,New York,Efficient Photobioreactor for Algae-Based Fuel,Transportation Fuels, ,908937
326,326,Cornell University,"Cornell University will develop a new type of rechargeable lithium metal battery that provides superior performance over existing lithium-ion batteries. The anode, or negative side of a lithium-ion battery, is usually composed of a carbon-based material. In lithium metal batteries, the anode is made of metallic lithium. While using metallic lithium could result in double the storage capacity, lithium metal batteries have unreliable performance, safety issues, and premature cell failure. There are two major causes for this performance degradation. First, side reactions can occur between the lithium metal and the liquid or solid electrolyte placed between the positive and negative electrodes. Second, when recharged, branchlike metal fibers called dendrites can grow on the negative electrode. These dendrites can grow to span the space between the negative and positive electrodes, causing short-circuiting. To overcome these challenges, Cornell proposes research to pair a variety of cathodes with a lithium metal anode. The work builds upon recent theoretical and experimental discoveries by the team, which show that a class of structured electrolytes can provide multiple mechanisms for stabilizing lithium metal anodes and suppress dendrite growth. The team will also develop structured electrolyte coatings that provide barriers to oxygen and moisture, but do not impede lithium-ion transport across the electrolyte/electrode interface. Such coatings will suppress the unwelcome lithium metal/electrolyte reactions and will also enable manufacturing of lithium metal batteries under standard dry room conditions. The structures developed could also be used in batteries based on other metals, such as sodium and aluminum that are more abundant and less expensive than lithium, but also affected by dendrite formation.

",8/16/2017,IDEAS,ALUMNI,?q=slick-sheet-project/secondary-lithium-metal-batteries,8/17/2016,New York,Secondary Lithium Metal Batteries,Transportation Fuels, ,499999
327,327,Cornell University,"Cornell University will develop an innovative, high-efficiency, gallium nitride (GaN) power switch. Cornell's design is significantly smaller and operates at much higher performance levels than conventional silicon power switches, making it ideal for use in a variety of power electronics applications. Cornell will also reuse expensive GaN materials and utilize conventional low-cost production methods to keep costs down.

",10/16/2017,SWITCHES,ALUMNI,?q=slick-sheet-project/gan-power-transistor,8/1/2015,New York,GaN Power Transistor,Electrical Efficiency, ,3435498
328,328,Cornell University,"Cornell University will develop thermoregulatory apparel that enables the expansion of the comfortable temperature range in buildings by more than 4?F in both heating and cooling seasons. Cornell's thermoregulatory apparel integrates advanced textile technologies and state-of-the-art wearable electronics into a functional apparel design without compromising comfort, wearability, washability, appearance, or safety. The thermoregulatory clothing system senses the wearer's skin temperature and activates a heated or cooled airflow around the individual, reducing the energy required to heat or cool the building itself by satisfying the comfort requirements of the individual.

",8/15/2018,DELTA,ALUMNI,?q=slick-sheet-project/thermoregulatory-clothing-system,4/27/2015,New York,Thermoregulatory Clothing System,Building Efficiency, ,2996807
329,329,Cornell University,"Cornell University is creating a new software platform for grid operators called GridControl that will utilize cloud computing to more efficiently control the grid. In a cloud computing system, there are minimal hardware and software demands on users. The user can tap into a network of computers that is housed elsewhere (the cloud) and the network runs computer applications for the user. The user only needs interface software to access all of the cloud's data resources, which can be as simple as a web browser. Cloud computing can reduce costs, facilitate innovation through sharing, empower users, and improve the overall reliability of a dispersed system. Cornell's GridControl will focus on 4 elements: delivering the state of the grid to users quickly and reliably; building networked, scalable grid-control software; tailoring services to emerging smart grid uses; and simulating smart grid behavior under various conditions.
",8/7/2015,GENI,ALUMNI,?q=slick-sheet-project/cloud-computing-grid,2/8/2012,New York,Cloud Computing for the Grid,Grid, ,1300000
330,330,Cree,"Cree is developing silicon carbide (SiC) power transistors that are 50% more energy efficient than traditional transistors. Transistors act like a switch, controlling the electrical energy that flows through an electrical circuit. Most power transistors today use silicon semiconductors to conduct electricity. However, transistors with SiC semiconductors operate at much higher temperatures, as well as higher voltage and power levels than their silicon counterparts. SiC-based transistors are also smaller and require less cooling than those made with traditional silicon power technology. Cree's SiC transistors will enable electrical circuits to handle higher power levels more efficiently, and they will result in much smaller and lighter electrical devices and power converters. Cree, an established leader in SiC technology, has already released a commercially available SiC transistor that can operate at up to 1,200 volts. The company has also demonstrated a utility-scale SiC transistor that operates at up to 15,000 volts.
",12/31/2014,ADEPT,ALUMNI,?q=slick-sheet-project/utility-scale-silicon-carbide-power-transistors,9/1/2010,North Carolina,Utility-Scale Silicon Carbide Power Transistors,Electrical Efficiency,Grid,5999973
331,331,Cree,"Cree is developing a compact, lightweight power conversion device that is capable of taking utility-scale solar power and outputting it directly into the electric utility grid at distribution voltage levels--eliminating the need for large transformers. Transformers ""step up"" the voltage of the power that is generated by a solar power system so it can be efficiently transported through transmission lines and eventually ""stepped down"" to usable voltages before it enters homes and businesses. Power companies step up the voltage because less electricity is lost along transmission lines when the voltage is high and current is low. Cree's new power conversion devices will eliminate these heavy transformers and connect a utility-scale solar power system directly to the grid. Cree's modular devices are designed to ensure reliability--if one device fails it can be bypassed and the system can continue to run.
",7/31/2017,Solar ADEPT,ALUMNI,?q=slick-sheet-project/utility-scale-solar-power-converter,1/25/2012,North Carolina,Utility-Scale Solar Power Converter,Distributed Generation, ,2794354
332,332,Cree Fayetteville,"Cree Fayetteville will develop high voltage (10kV), high energy density (30 J/cm3), high temperature (150 ?C+) capacitors utilizing chemical vapor deposition (CVD) diamond capable of powering the next generation of high-performance power electronics systems. CVD diamond is a superior material for capacitors due to its strong electrical, mechanical, and materials qualities that are inherently stable over varying temperatures. It also has similar qualities of single crystal diamond without the high cost. Commercial CVD diamond deposition will be utilized to prove the feasibility of the technology with consistent, low cost, high-resistivity diamond films. The CVD diamond will be used as an optimal dielectric for today's demanding power electronics applications. Most power electronics systems require large capacitors to filter switching noise and provide sufficient energy to loads during transient periods. But present-day film and ceramic capacitor technologies are quickly becoming obsolete as the switching frequency and operating temperature of power electronic systems continue to increase. Using CVD diamond for this purpose may provide a capacitor technology that does not experience lifetime-limiting overheating, at both low frequency (high energy) and high frequency (low equivalent series resistance) conditions, and with reasonable size and cost. In conjunction with a robust electrode metallurgy and proven high-temperature packaging techniques, energy densities in excess of 80 J/cm3 have been modeled; the proposed specification of 30 J/cm3 will be a drastic improvement over current technologies. The team's effort will primarily focus on the development and characterization of multi-layer CVD diamond capacitor design, packaging, and fabrication techniques, resulting in proof of concept prototypes to demonstrate the technology feasibility.

",2/2/2018,IDEAS,ALUMNI,?q=slick-sheet-project/diamond-capacitors-power-electronics,2/3/2017,Arkansas,Diamond Capacitors for Power Electronics,Distributed Generation, ,498272
333,333,Cummins Corporate Research &amp; Technology,"Cummins Corporate Research &amp; Technology will develop an advanced high efficiency natural gas-fueled internal combustion engine for high-power distributed electricity generation. The team is seeking to achieve 55% brake thermal efficiency while maintaining low exhaust emissions. The enabling technology is wet compression, where fine droplets of water are sprayed directly into the engine cylinders, causing the charge temperature to drop and thereby prevent the onset of damaging engine knock at high compression ratios. Since it takes less energy to compress cooler air, the savings from reduced compression work can be passed on to increase the net engine output. Wet compression is a transformative technology that dramatically improves engine efficiency while still allowing for conventional engine manufacturing methods at existing facilities.
",8/8/2018,OPEN 2015,ALUMNI,?q=slick-sheet-project/high-efficiency-engines,2/9/2016,Indiana,High-Efficiency Engines,Distributed Generation, ,2073235
334,334,Dais Analytic Corporation,"Dais Analytic Corporation is developing a product called NanoAir which dehumidifies the air entering a building to make air conditioning more energy efficient. The system uses a polymer membrane that allows moisture but not air to pass through it. A vacuum behind the membrane pulls water vapor from the air, and a second set of membranes releases the water vapor outside. The membrane's high selectivity translates into reduced energy consumption for dehumidification. Dais' design goals for NanoAir are the use of proprietary materials and processes and industry-standard installation techniques. NanoAir is also complementary to many other energy saving strategies, including energy recovery. Dais received a separate award of up to $800,000 from the Department of the Navy to help decrease military fuel use.
",2/29/2012,BEETIT,ALUMNI,?q=slick-sheet-project/dehumidifying-air-cooling-refrigeration,10/1/2010,Florida,Dehumidifying Air for Cooling &amp; Refrigeration,Building Efficiency, ,681322
335,335,Dartmouth College,"Dartmouth College is developing specialized alloys with magnetic properties superior to the rare earths used in today's best magnets. EVs and renewable power generators typically use rare earths to turn the axles in their electric motors due to the magnetic strength of these minerals. However, rare earths are difficult and expensive to refine. Dartmouth will swap rare earths for a manganese-aluminum alloy that could demonstrate better performance and cost significantly less. The ultimate goal of this project is to develop an easily scalable process that enables the widespread use of low-cost and abundant materials for the magnets used in EVs and renewable power generators.
",3/30/2013,REACT,ALUMNI,?q=slick-sheet-project/manganese-aluminum-based-magnets,1/1/2012,New Hampshire,Manganese-Aluminum-Based Magnets,Resource Efficiency, ,397432
336,336,Delphi Automotive Systems,"Delphi Automotive Systems is developing power converters that are smaller and more energy efficient, reliable, and cost-effective than current power converters. Power converters rely on power transistors which act like a very precisely controlled on-off switch, controlling the electrical energy flowing through an electrical circuit. Most power transistors today use silicon (Si) semiconductors. However, Delphi is using semiconductors made with a thin layer of gallium-nitride (GaN) applied on top of the more conventional Si material. The GaN layer increases the energy efficiency of the power transistor and also enables the transistor to operate at much higher temperatures, voltages, and power-density levels compared to its Si counterpart. Delphi is packaging these high-performance GaN semiconductors with advanced electrical connections and a cooling system that extracts waste heat from both sides of the device to further increase the device's efficiency and allow more electrical current to flow through it. When combined with other electronic components on a circuit board, Delphi's GaN power transistor package will help improve the overall performance and cost-effectiveness of HEVs and EVs.
",12/31/2013,OPEN 2009,ALUMNI,?q=slick-sheet-project/more-efficient-power-conversion-evs,2/1/2010,Michigan,More Efficient Power Conversion for EVs,Electrical Efficiency,Transportation Vehicles,7044569
337,337,Det Norske Veritas (DNV KEMA),"Det Norske Veritas (DNV KEMA) is testing a new gas monitoring system developed by NexTech Materials to provide early warning signals that a battery is operating under stressful conditions and at risk of premature failure. As batteries degrade, they emit low level quantities of gas that can be measured over the course of a battery's life-time. DNV KEMA is working with NexTech to develop technology to accurately measure these gas emissions. By taking accurate stock of gas emissions within the battery pack, the monitoring method could help battery management systems predict when a battery is likely to fail. Advanced prediction models could work alongside more traditional models to optimize the performance of electrical energy storage systems going forward. In the final phase of the project, DNV KEMA will build a demonstration in a community energy storage system with Beckett Energy Systems.
",4/1/2015,AMPED,ALUMNI,?q=slick-sheet-project/gas-based-battery-monitoring-system,10/1/2012,Texas,Gas-Based Battery Monitoring System,Storage,Transportation Storage,2030961
338,338,Dioxide Materials,"The team led by Dioxide Materials will develop an alkaline water electrolyzer for an improved power-to-gas system. The team's electrochemical cells are composed of an anode, a cathode, and a membrane that allows anions to pass through, while being electrically insulating. High-conductivity anion exchange membranes are rare and often do not have the chemical or mechanical stability to withstand H<sub>2</sub> production at elevated pressures. Therefore, the project is focused on developing an anion exchange membrane that is low-cost, is manufacturable in a scaleable process, and has sufficient conductivity, chemical stability, and mechanical strength. Moreover, by operating at alkaline instead of acidic conditions, the electrochemical cells do not need to use  expensive precious metal catalysts, which most systems require to prevent corrosion. Dioxide Materials estimates that operating under alkaline conditions could lead to a 10x lower electrolyzer stack cost due to higher current densities and lower material costs (i.e. non-precious metals). The system will be compatible with intermittent energy sources because it can operate at lower temperatures than competiting technologies, thus allowing startup times on the order of seconds.

",1/31/2019,OPEN 2015,ALUMNI,?q=slick-sheet-project/high-efficiency-hydrogen-production-0,2/1/2016,Florida,High-Efficiency Hydrogen Production,Grid,Storage,2000000
339,339,Dioxide Materials,"Dioxide Materials is developing technology to produce carbon monoxide, or ""synthesis gas"" electrochemically from CO<sub>2</sub> emitted by power plants. Synthesis gas can be used as a feedstock for the production of industrial chemicals and liquid fuels. The current state-of-the-art process for capturing and removing CO<sub>2</sub> from the flue gas of power plants is expensive and energy intensive, and therefore faces significant hurdles towards widespread implementation. The technologies being developed by Dioxide Materials aim to convert CO<sub>2</sub> into something useful in an economical and practical way. The technology has the potential to create an entirely new industry where waste CO<sub>2</sub>--rather than oil--is used to produce gasoline, diesel fuel, jet fuel, and industrial chemicals.

",3/6/2017,OPEN 2012,ALUMNI,?q=slick-sheet-project/converting-co2-fuel-and-chemicals,2/1/2013,Florida,Converting CO2 into Fuel and Chemicals,Resource Efficiency, ,4877239
340,340,Donald Danforth Plant Science Center,"The Donald Danforth Plant Science Center will optimize light utilization in Camelina, a drought-resistant, cold-tolerant oilseed crop. The team is modifying how Camelina collects sunlight, engineering its topmost leaves to be lighter in color so sunlight can more easily reflect onto lower parts of the plant. A more uniform distribution of light would improve the efficiency of photosynthesis. Combined with other strategies to produce more oil in the seed, Camelina would yield more oil per plant. The team is also working to allow Camelina to absorb carbon dioxide (CO<sub>2</sub>) more efficiently, providing more carbon input for oil production. The goal is to improve light utilization and oil production to the point where Camelina produces enough fuel precursors per acre to compete with other fuels.
",12/31/2016,PETRO,ALUMNI,?q=slick-sheet-project/improved-light-utilization-camelina,1/1/2012,Missour,Improved Light Utilization in Camelin,Transportation Fuels, ,7073289
341,341,Eaton Corporation,"Eaton is developing an at-home natural gas refueling system that relies on a liquid piston to compress natural gas. A traditional compressor uses an electric motor to rotate a crankshaft, which is tied to several metal pistons that pump to compress gas. Traditional compressor systems can be inefficient and their complex components make them expensive to manufacture, difficult to maintain, and short-lived. Eaton's system replaces traditional pistons with a liquid that comes into direct contact with the natural gas without the need for the costly high-pressure piston seals that are used in conventional gas compression.
",12/31/2015,MOVE,ALUMNI,?q=slick-sheet-project/liquid-piston-isothermal-home-natural-gas-compressor,1/1/2013,Ohio,Liquid-Piston Isothermal Home Natural Gas Compressor,Transportation Fuels, ,3350928
342,342,Eaton Corporation,"Eaton is developing advanced battery and vehicle systems models that will enable fast, accurate estimation of battery health and remaining life. The batteries used in hybrid vehicles are highly complex and require advanced management systems to maximize their performance. Eaton's battery models will be coupled with hybrid powertrain control and power management systems of the vehicle enabling a broader, more comprehensive vehicle management system for better optimization of battery life and fuel economy. Their design would reduce the sticker price of commercial hybrid vehicles, making them cost-competitive with non-hybrid vehicles.
",3/31/2016,AMPED,ALUMNI,?q=slick-sheet-project/advanced-battery-management-hybrid-vehicles,1/1/2013,Ohio,Advanced Battery Management for Hybrid Vehicles,Storage,Transportation Storage,1891018
343,343,Electron Energy Corporation (EEC),"Electron Energy Corporation (EEC) and its team are developing a new processing technology that could transform how permanent magnets found in today's EV motors and renewable power generators are fabricated. This new process, known as friction consolidation extrusion (FC&amp;E), could produce stronger magnets at a lower cost and with reduced rare earth mineral content. The advantage of FC&amp;E over today's best fabrication processes is that it can be applied to unconsolidated powders as opposed to solid alloys, which can allow magnets to be compacted from much smaller grains of two different types, a process which could double its magnetic energy density. EEC's process could reduce the need for rare earth mineral in permanent magnets by as much 30%.
",2/14/2017,OPEN 2012,ALUMNI,?q=slick-sheet-project/new-processing-technology-permanent-magnets,4/15/2013,Pennsylvania,New Processing Technology for Permanent Magnets,Transportation Vehicles, ,2889612
344,344,Energy Research Company (ERCo),"Energy Research Company (ERCo) is developing an automated Aluminum Integrated Minimill (AIM) that can produce finished components from mixed metal scrap. Unlike most current approaches, ERCo's AIM can distinguish and accurately sort multiple grades of aluminum scrap for recycling. ERCo's AIM reduces energy consumption in several ways. First, the technology would provide real-time feedback controls to improve the accuracy of the sorting process. The sorted scrap is then melted and cast. Further, ERCo's design replaces the inefficient dryers used in conventional processes with advanced, high-efficiency equipment. ERCo's AIM enables significantly more efficient and less expensive scrap sorting and aluminum recovery for casting.

",9/30/2018,METALS,ALUMNI,?q=slick-sheet-project/integrated-minimill-produce-aluminum-scrap,1/1/2014,New Jersey,Integrated Minimill to Produce Aluminum from Scrap,Manufacturing Efficiency, ,3815131
345,345,Energy Storage Systems (ESS),"Energy Storage Systems (ESS) is developing a cost-effective, reliable, and environmentally friendly all-iron hybrid flow battery. A flow battery is an easily rechargeable system that stores its electrolyte--the material that provides energy--as liquid in external tanks. Currently, flow batteries account for less than 1% of the grid-scale energy storage market because of their high system costs. The ESS flow battery technology is distinguished by its cost-effective electrolytes, based on earth-abundant iron, and its innovative battery hardware design that dramatically increases power density and enables a smaller and less costly battery. Creating a high-performing and low-cost storage system would enable broad adoption of distributed energy storage systems and help bring more renewable energy technologies--such as wind and solar--onto the grid.
",8/30/2017,GRIDS,ALUMNI,?q=slick-sheet-project/iron-flow-battery,10/1/2012,Oregon,Iron Flow Battery,Storage, ,2825689
346,346,eNova,"eNova is developing a gas compressor powered by waste heat from the exhaust of a gas turbine. A conventional gas turbine facility releases the exhaust heat produced during operation into the air--this heat is a waste by-product that can be used to improve power generation system efficiency. eNova's gas compressor converts the exhaust waste heat from the simple cycle gas turbine to compressed air for injection into the turbine, thereby  lessening the burden on the turbine's air compressor. This new compressor design is ideal for use with a remote gas turbine--such as that typically used in the natural gas industry to compress pipeline natural gas--with limited options for waste heat recovery and access to high voltage power lines and water.
",2/17/2014,OPEN 2012,ALUMNI,?q=slick-sheet-project/waste-heat-powered-gas-compressor,5/1/2013,Texas,Waste Heat-Powered Gas Compressor,Resource Efficiency, ,8358
347,347,Envia Systems,"In a battery, metal ions move between the electrodes through the electrolyte in order to store energy. Envia Systems is developing new silicon-based negative electrode materials for Li-Ion batteries. Using this technology, Envia will be able to produce commercial EV batteries that outperform today's technology by 2-3 times. Many other programs have attempted to make anode materials based on silicon, but have not been able to produce materials that can withstand charge/discharge cycles multiple times. Envia has been able to make this material which can successfully cycle hundreds of times, on a scale that is economically viable. Today, Envia's batteries exhibit world-record energy densities.
",12/31/2011,OPEN 2009,ALUMNI,?q=slick-sheet-project/long-range-electric-vehicle-batteries,1/1/2010,California,Long-Range Electric Vehicle Batteries,Transportation Storage, ,3952876
